"U.S. Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Transportation",1521.4201226799998,1474.7714546,1533.76416208,1570.2206239600002,1624.5456349,1659.11585649,1714.58813188,1740.49518401,1782.6700027,1853.6174277599998,1903.74070092,1875.43638622,1916.2043015400002,1923.6574400900001,1956.16410704,1965.91586602,1966.341904581,1967.18977856,1863.443299783,1789.0226016699999,1795.1485414299998,1762.377423323,1743.520088376,1746.765248104,1780.99189058,1789.4132013199999,1824.49284538,1841.924004528,1871.6078691720002,1874.554777024,1625.2834757960002,1805.471920947,1801.520908929
"Electric power industry",1880.1756796509999,1874.408851683,1889.635530017,1964.9894276950001,1989.595913078,2006.048306961,2078.436657977,2143.760122335,2230.0878291430004,2243.4850092350002,2350.0644386380004,2310.779764306,2326.4681802060004,2357.9677204,2391.1339750069997,2457.44715722,2402.3712725109995,2468.3236678,2415.236378544,2198.6585113280003,2313.1009701740004,2210.215184207,2072.6574715829997,2090.987727989,2091.043603873,1951.696058549,1859.330637976,1779.357830753,1799.179777529,1650.7524615450002,1482.168360396,1584.447572912,1577.4934474870001
"Industry",1723.3223205159995,1702.8666930020001,1729.2750776940004,1701.0000297549998,1719.6716252300012,1741.7658679479998,1762.112970515001,1765.4127121799995,1757.760768545,1703.937152222,1699.0935319559999,1631.3539935819995,1613.804270986,1593.643666286,1639.8291979880005,1587.259170193,1624.488722683,1611.628147355,1571.7092208150002,1415.5049363899998,1488.5698243200004,1488.3932802540005,1473.1588495029998,1533.8283180910003,1526.8799438969993,1506.0614004880001,1456.232277636,1478.412290793,1541.8692143080002,1531.7975403609998,1435.9107622300003,1455.7955886700001,1452.536165637
"Agriculture",595.9460543150001,587.4119972230001,587.5111404740001,608.7331930370001,612.1585376889999,618.123911632,625.693882927,610.7288297580002,621.023100021,614.986760919,607.226572448,622.4056799470001,628.402932183,627.684215457,633.5354464779999,634.3032370599999,638.728891262,654.903372179,643.038956138,639.8298536819999,647.14231974,641.2263656470001,624.385259101,658.4858637189999,660.868013748,657.35266314,650.3636978210001,658.503898908,683.5339387429999,661.035226967,640.048676086,645.8764622640001,633.9645087529999
"Commercial",447.0062923020001,454.452721041,449.97015531700004,443.0822400780001,446.051459479,444.491719275,451.625772874,442.88009917499994,416.33872530900004,411.81787374300006,425.633761278,414.052081335,415.31084077700007,431.72008114500005,429.132622803,418.863933029,404.90141686699997,418.42506357,425.324512365,428.256573988,430.587609504,425.528968397,406.456125406,429.200746854,439.358052479,451.674786147,435.630707027,437.38919134200006,453.4810288160001,462.63095222999993,436.915126499,443.663062661,463.661568603
"Residential",345.59711474299996,355.264350438,361.8081334120001,373.147537632,363.773427651,367.292044541,399.137914666,380.42593813499997,346.522958163,366.32538820199994,387.642128584,377.790426275,375.113216312,393.678825878,381.913393628,371.18948427199996,334.363825679,355.266742602,363.827773198,353.866061154,355.00522739900003,348.859719349,306.48007232000003,357.202065785,377.61824479,350.689959957,327.02652926999997,329.161535636,376.819522916,384.210676539,358.042212399,369.609905452,391.301657308
"U.S. territories",23.447095076,23.513283810999997,24.387493994,25.282484719,26.842183932999998,25.299585783999998,24.663047199999998,25.277079691,24.582904416999998,24.463355251999996,46.479978542000005,55.498621801999995,54.59437108299999,58.535093695,60.62001422899999,59.658252653000005,57.982106241,54.167972743,43.77244708199999,41.78018720600001,36.452916633,35.16541238800001,34.247257011,28.933104278000002,29.091592969,29.328714155,26.959275919,26.278394038,26.258370715999998,25.147283029,23.438662070999996,23.929840351,22.731072705
"Gross total",6536.914679282999,6472.689351798001,6576.351692988,6686.455536876001,6782.638781960001,6862.137292631,7056.258378039001,7108.979965283998,7178.9862882980005,7218.632967332999,7419.881112366,7287.3169534670005,7329.898113087002,7386.887042951001,7492.328757173002,7494.637100447,7429.178139824,7529.904744809,7326.352587925001,6866.918725418,7066.007409200001,6911.766353565001,6660.9051233,6845.40307482,6905.851342335999,6736.216783756,6580.0359710289995,6551.027145998001,6752.749722199999,6590.128917695,6001.807275477,6328.794353257001,6343.209329421999
